millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
4000, 1683277701, 2023/5/5 9:8:21, 49.40, 21.00, 525.94, 1776.38, 4125.98, 0.00, 21.09, 0.00, 1, 1
5999, 1683277703, 2023/5/5 9:8:23, 49.40, 21.00, 377.63, 1777.69, 4130.86, 0.00, 21.09, 0.00, 2, 1
7999, 1683277705, 2023/5/5 9:8:253999, 1683282703, 2023/5/5 10:31:43, 46.00, 21.30, 341.81, 1768.69, 4130.86, 0.00, 21.31, 0.00, 1, 1
5999, 1683282705, 2023/5/5 10:31:45, 46.00, 21.30, 296.81, 1768.88, 4130.86, 0.00, 21.31, 0.00, 2, 1
7998, 1683282707, 2023/5/5 10:31:47, 45.80, 21.30, 262.31, 1768.88, 4130.86, 0.00, 21.31, 0.00, 3, 1
9999, 1683282709, 2023/5/5 10:31:49, 45.50, 21.30, 239.25, 1769.06, 4130.86, 0.00, 21.31, 0.00, 4, 1
11999, 1683282711, 2023/5/5 10:31:51, 45.40, 21.30, 224.63, 1769.06, 4125.98, 0.00, 21.31, 0.00, 5, 1
14000, 1683282713, 2023/5/5 10:31:53, 45.30, 21.30, 215.81, 1769.25, 4125.98, 0.00, 21.31, 0.00, 6, 1
16000, 1683282715, 2023/5/5 10:31:55, 45.30, 21.30, 210.38, 1769.81, 4125.98, 0.00, 21.31, 0.00, 7, 1
17998, 1683282717, 2023/5/5 10:31:57, 45.40, 21.30, 207.75, 1770.75, 4130.86, 0.00, 21.31, 0.00, 8, 1
19999, 1683282719, 2023/5/5 10:31:59, 45.70, 21.30, 206.06, 1771.31, 4130.86, 0.00, 21.31, 0.00, 9, 1
21999, 1683282721, 2023/5/5 10:32:1, 45.70, 21.30, 204.56, 1771.88, 4130.86, 0.00, 21.31, 0.00, 10, 1
23999, 1683282723, 2023/5/5 10:32:3, 45.70, 21.40, 204.38, 1771.50, 4125.98, 40.00, 21.57, 594.00, 11, 1
25999, 1683282725, 2023/5/5 10:32:5, 45.60, 21.40, 204.56, 1771.50, 4125.98, 40.00, 21.57, 594.00, 12, 1
27999, 1683282727, 2023/5/5 10:32:7, 45.30, 21.40, 204.94, 1771.31, 4125.98, 40.00, 21.57, 594.00, 13, 1
30000, 1683282729, 2023/5/5 10:32:9, 45.20, 21.40, 205.50, 1771.50, 4125.98, 40.00, 21.57, 594.00, 14, 1
32000, 1683282731, 2023/5/5 10:32:11, 45.10, 21.40, 206.25, 1771.50, 4125.98, 40.00, 21.57, 594.00, 15, 1
33999, 1683282733, 2023/5/5 10:32:13, 45.10, 21.40, 207.19, 1771.50, 4125.98, 40.00, 21.57, 594.00, 16, 1
35998, 1683282735, 2023/5/5 10:32:15, 45.30, 21.40, 208.50, 1771.88, 4121.09, 40.00, 21.57, 594.00, 17, 1
37999, 1683282737, 2023/5/5 10:32:17, 45.90, 21.40, 209.06, 1772.06, 4125.98, 40.00, 21.57, 594.00, 18, 1
39999, 1683282739, 2023/5/5 10:32:19, 45.80, 21.40, 209.81, 1772.25, 4125.98, 40.00, 21.57, 594.00, 19, 1
41999, 1683282741, 2023/5/5 10:32:21, 45.50, 21.50, 210.38, 1772.44, 4125.98, 40.00, 21.57, 594.00, 20, 1
43999, 1683282743, 2023/5/5 10:32:23, 45.40, 21.50, 211.13, 1772.44, 4121.09, 39.46, 21.80, 567.00, 21, 1
45999, 1683282745, 2023/5/5 10:32:25, 45.20, 21.40, 211.69, 1772.63, 4121.09, 39.46, 21.80, 567.00, 22, 1
47998, 1683282747, 2023/5/5 10:32:27, 45.20, 21.40, 212.63, 1773.00, 4121.09, 39.46, 21.80, 567.00, 23, 1
49998, 1683282749, 2023/5/5 10:32:29, 45.10, 21.40, 213.19, 1773.56, 4121.09, 39.46, 21.80, 567.00, 24, 1
51999, 1683282751, 2023/5/5 10:32:31, 45.00, 21.40, 214.31, 1773.94, 4121.09, 39.46, 21.80, 567.00, 25, 1
53999, 1683282753, 2023/5/5 10:32:33, 45.00, 21.40, 215.25, 1774.50, 4121.09, 39.46, 21.80, 567.00, 26, 1
55999, 1683282755, 2023/5/5 10:32:35, 45.40, 21.40, 216.00, 1774.88, 4121.09, 39.46, 21.80, 567.00, 27, 1
58000, 1683282757, 2023/5/5 10:32:37, 45.50, 21.50, 216.56, 1775.06, 4125.98, 39.46, 21.80, 567.00, 28, 1
59999, 1683282759, 2023/5/5 10:32:39, 45.50, 21.50, 217.31, 1775.63, 4125.98, 39.46, 21.80, 567.00, 29, 1
62000, 1683282761, 2023/5/5 10:32:41, 45.50, 21.50, 217.88, 1775.81, 4125.98, 39.46, 21.80, 567.00, 30, 1
63998, 1683282763, 2023/5/5 10:32:43, 45.40, 21.50, 218.44, 1776.19, 4121.09, 37.88, 22.10, 638.00, 31, 1
65998, 1683282765, 2023/5/5 10:32:45, 45.30, 21.40, 219.19, 1776.75, 4121.09, 37.88, 22.10, 638.00, 32, 1
67999, 1683282767, 2023/5/5 10:32:47, 45.40, 21.50, 219.94, 1777.13, 4121.09, 37.88, 22.10, 638.00, 33, 1
69999, 1683282769, 2023/5/5 10:32:49, 45.60, 21.50, 220.88, 1777.69, 4121.09, 37.88, 22.10, 638.00, 34, 1
71998, 1683282771, 2023/5/5 10:32:51, 45.90, 21.50, 221.63, 1778.25, 4121.09, 37.88, 22.10, 638.00, 35, 1
73999, 1683282773, 2023/5/5 10:32:53, 46.40, 21.50, 222.00, 1778.63, 4121.09, 37.88, 22.10, 638.00, 36, 1
76000, 1683282775, 2023/5/5 10:32:55, 46.40, 21.50, 222.38, 1779.19, 4121.09, 37.88, 22.10, 638.00, 37, 1
78000, 1683282777, 2023/5/5 10:32:57, 46.20, 21.50, 222.56, 1779.56, 4125.98, 37.88, 22.10, 638.00, 38, 1
80000, 1683282779, 2023/5/5 10:32:59, 46.00, 21.50, 222.94, 1779.94, 4121.09, 37.88, 22.10, 638.00, 39, 1
81999, 1683282781, 2023/5/5 10:33:1, 45.80, 21.50, 223.31, 1780.31, 4121.09, 37.88, 22.10, 638.00, 40, 1
83999, 1683282783, 2023/5/5 10:33:3, 45.70, 21.50, 223.50, 1780.88, 4116.21, 37.58, 22.40, 761.00, 41, 1
85999, 1683282785, 2023/5/5 10:33:5, 45.70, 21.50, 223.88, 1781.25, 4116.21, 37.58, 22.40, 761.00, 42, 1
87999, 1683282787, 2023/5/5 10:33:7, 45.50, 21.50, 224.25, 1781.44, 4116.21, 37.58, 22.40, 761.00, 43, 1
89999, 1683282789, 2023/5/5 10:33:9, 45.40, 21.50, 224.44, 1781.63, 4116.21, 37.58, 22.40, 761.00, 44, 1
91999, 1683282791, 2023/5/5 10:33:11, 45.40, 21.50, 224.81, 1782.00, 4116.21, 37.58, 22.40, 761.00, 45, 1
93999, 1683282793, 2023/5/5 10:33:13, 45.50, 21.50, 225.38, 1782.00, 4116.21, 37.58, 22.40, 761.00, 46, 1
96000, 1683282795, 2023/5/5 10:33:15, 45.50, 21.50, 225.56, 1782.38, 4116.21, 37.58, 22.40, 761.00, 47, 1
97999, 1683282797, 2023/5/5 10:33:17, 45.50, 21.50, 225.94, 1782.75, 4121.09, 37.58, 22.40, 761.00, 48, 1
99999, 1683282799, 2023/5/5 10:33:19, 45.50, 21.50, 226.13, 1783.13, 4121.09, 37.58, 22.40, 761.00, 49, 1
101999, 1683282801, 2023/5/5 10:33:21, 45.50, 21.50, 226.31, 1783.31, 4121.09, 37.58, 22.40, 761.00, 50, 1
103999, 1683282803, 2023/5/5 10:33:23, 45.60, 21.50, 226.88, 1783.69, 4116.21, 37.40, 22.63, 648.00, 51, 1
105999, 1683282805, 2023/5/5 10:33:25, 45.80, 21.50, 227.06, 1784.06, 4116.21, 37.40, 22.63, 648.00, 52, 1
107999, 1683282807, 2023/5/5 10:33:27, 46.00, 21.50, 227.25, 1784.25, 4116.21, 37.40, 22.63, 648.00, 53, 1
109999, 1683282809, 2023/5/5 10:33:29, 46.00, 21.50, 227.44, 1784.63, 4116.21, 37.40, 22.63, 648.00, 54, 1
111998, 1683282811, 2023/5/5 10:33:31, 46.00, 21.50, 227.81, 1784.63, 4116.21, 37.40, 22.63, 648.00, 55, 1
113999, 1683282813, 2023/5/5 10:33:33, 46.00, 21.50, 228.19, 1784.81, 4116.21, 37.40, 22.63, 648.00, 56, 1
115999, 1683282815, 2023/5/5 10:33:35, 46.00, 21.50, 228.38, 1785.00, 4116.21, 37.40, 22.63, 648.00, 57, 1
117999, 1683282817, 2023/5/5 10:33:37, 46.00, 21.50, 228.38, 1785.19, 4121.09, 37.40, 22.63, 648.00, 58, 1
119999, 1683282819, 2023/5/5 10:33:39, 45.90, 21.50, 228.56, 1785.38, 4121.09, 37.40, 22.63, 648.00, 59, 1
121999, 1683282821, 2023/5/5 10:33:41, 45.90, 21.50, 228.56, 1785.56, 4121.09, 37.40, 22.63, 648.00, 60, 1
123999, 1683282823, 2023/5/5 10:33:43, 45.90, 21.50, 228.75, 1785.75, 4116.21, 37.57, 22.82, 722.00, 61, 1
126000, 1683282825, 2023/5/5 10:33:45, 45.80, 21.50, 228.75, 1785.94, 4116.21, 37.57, 22.82, 722.00, 62, 1
127998, 1683282827, 2023/5/5 10:33:47, 45.80, 21.50, 228.75, 1785.94, 4116.21, 37.57, 22.82, 722.00, 63, 1
